timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569014331280,8,Get - All tasks ,200,,Thread Group 1-1,text,true,,774,165,1,1,http://localhost:9090/tasks,7,0,4
1569014331288,3,Get - Task,200,,Thread Group 1-1,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014331291,2,Post - ParentTasks,200,,Thread Group 1-1,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014331293,3,Post - Task,200,,Thread Group 1-1,text,true,,774,312,1,1,http://localhost:9090/tasks,2,0,0
1569014331296,2,Get - ParentTasks,200,,Thread Group 1-1,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014331298,4,Get - All tasks ,200,,Thread Group 1-1,text,true,,774,165,1,1,http://localhost:9090/tasks,4,0,1
1569014331302,3,Get - Task,200,,Thread Group 1-1,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014331305,2,Post - ParentTasks,200,,Thread Group 1-1,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014331307,3,Post - Task,200,,Thread Group 1-1,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014331310,2,Get - ParentTasks,200,,Thread Group 1-1,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014332481,3,Get - All tasks ,200,,Thread Group 1-2,text,true,,774,165,1,1,http://localhost:9090/tasks,3,0,0
1569014332484,2,Get - Task,200,,Thread Group 1-2,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014332486,2,Post - ParentTasks,200,,Thread Group 1-2,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014332488,2,Post - Task,200,,Thread Group 1-2,text,true,,774,312,1,1,http://localhost:9090/tasks,2,0,0
1569014332490,2,Get - ParentTasks,200,,Thread Group 1-2,text,true,,325,166,1,1,http://localhost:9090/ptasks,1,0,0
1569014332492,3,Get - All tasks ,200,,Thread Group 1-2,text,true,,774,165,1,1,http://localhost:9090/tasks,2,0,0
1569014332495,2,Get - Task,200,,Thread Group 1-2,text,true,,348,167,1,1,http://localhost:9090/tasks/1,1,0,0
1569014332497,1,Post - ParentTasks,200,,Thread Group 1-2,text,true,,325,121,1,1,http://localhost:9090/ptasks,1,0,0
1569014332499,2,Post - Task,200,,Thread Group 1-2,text,true,,774,312,1,1,http://localhost:9090/tasks,1,0,0
1569014332501,1,Get - ParentTasks,200,,Thread Group 1-2,text,true,,325,166,1,1,http://localhost:9090/ptasks,1,0,0
1569014333683,9,Get - All tasks ,200,,Thread Group 1-3,text,true,,774,165,1,1,http://localhost:9090/tasks,8,0,2
1569014333692,5,Get - Task,200,,Thread Group 1-3,text,true,,348,167,1,1,http://localhost:9090/tasks/1,5,0,0
1569014333698,4,Post - ParentTasks,200,,Thread Group 1-3,text,true,,325,121,1,1,http://localhost:9090/ptasks,4,0,0
1569014333703,6,Post - Task,200,,Thread Group 1-3,text,true,,774,312,1,1,http://localhost:9090/tasks,5,0,0
1569014333709,5,Get - ParentTasks,200,,Thread Group 1-3,text,true,,325,166,1,1,http://localhost:9090/ptasks,5,0,0
1569014333715,8,Get - All tasks ,200,,Thread Group 1-3,text,true,,774,165,1,1,http://localhost:9090/tasks,7,0,1
1569014333723,6,Get - Task,200,,Thread Group 1-3,text,true,,348,167,1,1,http://localhost:9090/tasks/1,5,0,0
1569014333729,4,Post - ParentTasks,200,,Thread Group 1-3,text,true,,325,121,1,1,http://localhost:9090/ptasks,4,0,0
1569014333734,3,Post - Task,200,,Thread Group 1-3,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014333738,3,Get - ParentTasks,200,,Thread Group 1-3,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014334894,8,Get - All tasks ,200,,Thread Group 1-4,text,true,,774,165,1,1,http://localhost:9090/tasks,8,0,2
1569014334903,5,Get - Task,200,,Thread Group 1-4,text,true,,348,167,1,1,http://localhost:9090/tasks/1,5,0,0
1569014334909,5,Post - ParentTasks,200,,Thread Group 1-4,text,true,,325,121,1,1,http://localhost:9090/ptasks,5,0,0
1569014334915,6,Post - Task,200,,Thread Group 1-4,text,true,,774,312,1,1,http://localhost:9090/tasks,6,0,0
1569014334922,5,Get - ParentTasks,200,,Thread Group 1-4,text,true,,325,166,1,1,http://localhost:9090/ptasks,4,0,0
1569014334928,6,Get - All tasks ,200,,Thread Group 1-4,text,true,,774,165,1,1,http://localhost:9090/tasks,6,0,1
1569014334935,3,Get - Task,200,,Thread Group 1-4,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014334938,3,Post - ParentTasks,200,,Thread Group 1-4,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014334941,4,Post - Task,200,,Thread Group 1-4,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014334945,4,Get - ParentTasks,200,,Thread Group 1-4,text,true,,325,166,1,1,http://localhost:9090/ptasks,3,0,0
1569014336086,4,Get - All tasks ,200,,Thread Group 1-5,text,true,,774,165,1,1,http://localhost:9090/tasks,4,0,1
1569014336090,2,Get - Task,200,,Thread Group 1-5,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014336093,2,Post - ParentTasks,200,,Thread Group 1-5,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014336095,3,Post - Task,200,,Thread Group 1-5,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014336098,2,Get - ParentTasks,200,,Thread Group 1-5,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014336101,3,Get - All tasks ,200,,Thread Group 1-5,text,true,,774,165,1,1,http://localhost:9090/tasks,3,0,0
1569014336105,2,Get - Task,200,,Thread Group 1-5,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014336107,2,Post - ParentTasks,200,,Thread Group 1-5,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014336110,3,Post - Task,200,,Thread Group 1-5,text,true,,774,312,1,1,http://localhost:9090/tasks,2,0,0
1569014336113,2,Get - ParentTasks,200,,Thread Group 1-5,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014337284,10,Get - All tasks ,200,,Thread Group 1-6,text,true,,774,165,1,1,http://localhost:9090/tasks,9,0,2
1569014337294,6,Get - Task,200,,Thread Group 1-6,text,true,,348,167,1,1,http://localhost:9090/tasks/1,5,0,0
1569014337300,5,Post - ParentTasks,200,,Thread Group 1-6,text,true,,325,121,1,1,http://localhost:9090/ptasks,4,0,0
1569014337305,4,Post - Task,200,,Thread Group 1-6,text,true,,774,312,1,1,http://localhost:9090/tasks,4,0,0
1569014337310,4,Get - ParentTasks,200,,Thread Group 1-6,text,true,,325,166,1,1,http://localhost:9090/ptasks,3,0,0
1569014337314,7,Get - All tasks ,200,,Thread Group 1-6,text,true,,774,165,1,1,http://localhost:9090/tasks,6,0,1
1569014337321,4,Get - Task,200,,Thread Group 1-6,text,true,,348,167,1,1,http://localhost:9090/tasks/1,3,0,0
1569014337325,5,Post - ParentTasks,200,,Thread Group 1-6,text,true,,325,121,1,1,http://localhost:9090/ptasks,4,0,0
1569014337330,3,Post - Task,200,,Thread Group 1-6,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014337333,2,Get - ParentTasks,200,,Thread Group 1-6,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014338484,5,Get - All tasks ,200,,Thread Group 1-7,text,true,,774,165,1,1,http://localhost:9090/tasks,4,0,1
1569014338489,3,Get - Task,200,,Thread Group 1-7,text,true,,348,167,1,1,http://localhost:9090/tasks/1,3,0,0
1569014338492,3,Post - ParentTasks,200,,Thread Group 1-7,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014338495,3,Post - Task,200,,Thread Group 1-7,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014338498,2,Get - ParentTasks,200,,Thread Group 1-7,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014338501,4,Get - All tasks ,200,,Thread Group 1-7,text,true,,774,165,1,1,http://localhost:9090/tasks,4,0,1
1569014338505,2,Get - Task,200,,Thread Group 1-7,text,true,,348,167,1,1,http://localhost:9090/tasks/1,2,0,0
1569014338508,2,Post - ParentTasks,200,,Thread Group 1-7,text,true,,325,121,1,1,http://localhost:9090/ptasks,1,0,0
1569014338510,3,Post - Task,200,,Thread Group 1-7,text,true,,774,312,1,1,http://localhost:9090/tasks,2,0,0
1569014338513,2,Get - ParentTasks,200,,Thread Group 1-7,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014339667,7,Get - All tasks ,200,,Thread Group 1-8,text,true,,774,165,1,1,http://localhost:9090/tasks,7,0,1
1569014339674,4,Get - Task,200,,Thread Group 1-8,text,true,,348,167,1,1,http://localhost:9090/tasks/1,4,0,0
1569014339679,3,Post - ParentTasks,200,,Thread Group 1-8,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014339682,4,Post - Task,200,,Thread Group 1-8,text,true,,774,312,1,1,http://localhost:9090/tasks,4,0,0
1569014339686,4,Get - ParentTasks,200,,Thread Group 1-8,text,true,,325,166,1,1,http://localhost:9090/ptasks,3,0,0
1569014339690,5,Get - All tasks ,200,,Thread Group 1-8,text,true,,774,165,1,1,http://localhost:9090/tasks,5,0,1
1569014339696,3,Get - Task,200,,Thread Group 1-8,text,true,,348,167,1,1,http://localhost:9090/tasks/1,3,0,0
1569014339700,2,Post - ParentTasks,200,,Thread Group 1-8,text,true,,325,121,1,1,http://localhost:9090/ptasks,2,0,0
1569014339703,2,Post - Task,200,,Thread Group 1-8,text,true,,774,312,1,1,http://localhost:9090/tasks,2,0,0
1569014339705,2,Get - ParentTasks,200,,Thread Group 1-8,text,true,,325,166,1,1,http://localhost:9090/ptasks,2,0,0
1569014340886,9,Get - All tasks ,200,,Thread Group 1-9,text,true,,774,165,1,1,http://localhost:9090/tasks,8,0,1
1569014340895,6,Get - Task,200,,Thread Group 1-9,text,true,,348,167,1,1,http://localhost:9090/tasks/1,5,0,0
1569014340901,4,Post - ParentTasks,200,,Thread Group 1-9,text,true,,325,121,1,1,http://localhost:9090/ptasks,4,0,0
1569014340906,3,Post - Task,200,,Thread Group 1-9,text,true,,774,312,1,1,http://localhost:9090/tasks,3,0,0
1569014340910,3,Get - ParentTasks,200,,Thread Group 1-9,text,true,,325,166,1,1,http://localhost:9090/ptasks,3,0,0
1569014340913,6,Get - All tasks ,200,,Thread Group 1-9,text,true,,774,165,1,1,http://localhost:9090/tasks,5,0,1
1569014340919,3,Get - Task,200,,Thread Group 1-9,text,true,,348,167,1,1,http://localhost:9090/tasks/1,3,0,0
